URL,更新日,タイトル,本文
https://ishiharakaori-fc.com/news/?id=15,2021/04/24,「Plastic Smile」誕生しました♪ を更新☆,スタッフブログを更新しました！ 「Plastic Smile」では「初の試み」が3つもあるんです…♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=16,2021/03/18,「Plastic Smile」制作、大詰めです を更新☆,BLOGを更新しました！ スタッフブログを更新しました！ CD完成に向けて鋭意進行中です！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=17,2021/03/16,「Plastic Smile」カップリング曲、TD中！ を更新☆,BLOGを更新しました！ スタッフブログを更新しました！ 楽曲制作中の一枚やMVオフショットなどを公開です♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=21,2021/06/16,とある撮影にて を更新☆,スタッフブログを更新しました！ とある撮影の日のお話です♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=22,2021/06/20,フレーム Vol.3 更新☆,AR CAMERAに新しいフレームを追加いたしました！ 新フレームの夏織ちゃんはどんな姿か… ぜひログインしてお確かめください♪ こちら からお楽しみください！
https://ishiharakaori-fc.com/news/?id=23,2021/07/07,石原夏織 SUMMER EVENT「Smile Go Happy」チケット優先販売（FC会員先行受付）申込受付開始！,"石原夏織 SUMMER EVENT「Smile Go Happy」開催決定！ ゲストMCには約2年ぶりに鷲崎 健さんをお迎えして、様々な企画への挑戦はもちろん、ライブパートもお届けします！ 夏織ちゃんと一緒にみんなでHappyな一日を作りましょう！ ■SUMMER EVENT「Smile Go Happy」概要 【日程】 2021年8月14日（土） 【会場】サンシティ越谷市民ホール 大ホール （埼玉県越谷市南越谷1-2876-1） 【出演】 石原夏織／鷲崎 健（MC） 【内容】 トーク（ゲーム）＆ライブ 【チケット】 全席指定 4,600円（税込） 【開場 / 開演】 [昼の部]開場13:30/開演：14:30 [夜の部]開場17:00/開演：18:00 ＊未就学児童入場不可 ＊開場・開演時間は変更となる場合がございます。 ■参加方法 2021年7月7日発売 石原夏織2nd LIVE「MAKE SMILE」BD/DVD（PCXP.50837/PCBP.54446）初回製造分に、チケット優先販売申込券が封入されます。 申込券記載の注意事項等をご確認・ご了承の上、記載のシリアルナンバーを使い、受付期間内に専用の受付URLにてお申込みください。 ▶2nd LIVE「MAKE SMILE」BD/DVDの商品情報は コチラ ＊申込多数の場合は抽選となります。 ＊シリアルナンバー1つにつき、いずれか1公演のみ1枚までお申込みいただけます。 ＊2公演以上にお申込みをご希望の場合、シリアルナンバーはお申込み公演分必要となります。 ＊「チケット優先販売申込券」封入の初回製造分は数に限りがございます。お近くのショップ等にてお早めのご予約をお勧めいたします。 ■申込スケジュール ①FC会員で優先販売申込券をお持ちの方 申込受付期間2021年7月7日(水)～2021年7月13日(火)23:59 抽選結果発表2021年7月16日(金) 19:00以降 支払手続期間2021年7月16日(金) 19:00 ～ 2021年7月19日(月)23:59 ②優先販売申込券をお持ちの方（FC会員でなくともOK） ③FC会員（優先販売申込券をお持ちでない方） 申込受付期間2021年7月14日(水)～2021年7月20日(火)23:59 抽選結果発表2021年7月23日(金)19:00以降 支払手続期間2021年7月23日(金)19:00～2021年7月26日(月)23:59 ＊新型コロナウイルス感染症の状況を注視しながら対応を検討して参ります。 （客席は、現状では会場収容人数の50%以内での配席で販売を予定しております。） 最新情報は、HP及びSNS等で発表させていただきます。 ＊オンライン有料配信の実施も予定しております。 ■申込は こちら から"
https://ishiharakaori-fc.com/news/?id=24,2021/07/07,七夕のお土産♡ を更新☆,BLOGを更新しました！ 本日は七夕ですね！ 夏織ちゃんが2nd LIVE「MAKE SMILE」への思いを綴ってくれました！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=25,2021/07/01,未来の話、色々と☆,BLOGを更新しました！ 夏織ちゃん＆スタッフで 未来の話、色々しています♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=26,2021/07/07,SUMMER EVENT先行申込み受付開始！ を更新☆,MOVIEを更新しました！ いよいよSUMMER EVENT「Smile Go Happy」の先行申込み受付が開始です…！ ということで夏織ちゃんからコメントをいただきました！ 皆様からのご応募お待ちしております♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=27,2021/07/16,「MAKE SMILE」同時視聴会 終了後コメント！ を更新☆,MOVIEを更新しました！ 「MAKE SMILE」Blu-ray＆DVD同時視聴会終了後に夏織ちゃんからコメントをいただきました！ 7月23日までの限定公開となります♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=28,2021/07/30,8月6日「hand in hand」会員限定 バースデー生配信　決定！,夏織ちゃんバースデーの8月6日にファンクラブ会員限定の生配信を実施します♪ ファンクラブ初の生配信で夏織ちゃんのお誕生日を一緒にお祝いしましょう！ 皆さまのご参加お待ちしております！ 配信日時 2021年8月6日(金) 21時頃 配信開始予定 ※配信直前は混雑が予想されます。配信開始の15～20分前などお早めにログインのうえ配信開始をお待ちください。 ※配信が始まると、動画は自動的に開始いたします。過度なリロードはサイトへの負荷となりますので、お控えいただきますようお願いいたします。 ※後日、本配信のアーカイブ映像を期間限定でファンクラブサイト内にて公開予定です。 チャット機能について ※チャットに参加する場合は、名前、利用規約とプライバシーポリシーに同意のチェックを入れ、登録を押し、その後にメッセージを入力してください。（チャット上にお名前が表示されない場合は、メッセージ内にもお名前をいれてください ※任意） ※チャット機能は会話に参加するほかのユーザーへの思いやりを忘れずにお楽しみください。 注意事項 ※ご視聴には、石原夏織 オフィシャルファンクラブ「hand in hand」への有料会員登録が必要となります。ご視聴を希望される方は、配信開始までに会員登録・入金完了までお手続きをお済ませください。 ※生配信のため、通信エラー等により配信が途切れる場合がございます。予めご了承ください。 ※本コンテンツは視聴専用となりダウンロードは出来ません。録画・スクリーンショットなどは禁止とさせていただきます。 ※視聴が出来ない方はブラウザを変えてお試しください。 ※機種や端末、ブラウザによって表示が異なる為、再生ボタンやチャットが表示されない場合がございます。その際はブラウザを変えてお試しくださいませ。 ※Androidをご利用されている場合はChrome等にブラウザを変えてお試しください。 ※Wi-Fi環境にてご視聴いただく事を強くお勧めいたします。 ◆ 配信ページはこちら ◆ 新規ご入会はこちら
https://ishiharakaori-fc.com/news/?id=29,2021/07/29,未来のお仕事,スタッフブログを更新しました！ 未来のお仕事をチラ見せしちゃってます♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=30,2021/08/01,RH（リハーサル）始まってます！,スタッフブログを更新しました！ SUMMER EVENT「Smile Go Happy」のRH風景をお届けです♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=31,2021/07/21,フレーム Vol.4 更新☆,AR CAMERAに新しいフレームを追加いたしました！ 新フレームの夏織ちゃんはどんな姿か… ぜひログインしてお確かめください♪ こちら からお楽しみください！
https://ishiharakaori-fc.com/news/?id=32,2021/08/06,フレーム Vol.5 ＆ Vol.6 更新☆,フレーム Vol.5 ＆ Vol.6 を更新しました☆ 新しいフレームはSUMMER EVENT「Smile Go Happy」から 夏らしい青ストライブ衣装の夏織ちゃんです♪ こちらからご確認ください！
https://ishiharakaori-fc.com/news/?id=33,2021/08/06,初✨FC限定 生配信！,スタッフブログを更新しました！ バースデー生配信、ありがとうございました♪ 放送中に撮影したお写真をアップしました。 こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=34,2021/08/07,バースデー生配信アーカイブ を更新しました☆,生配信はお楽しみいただけましたか？ 現在アーカイブ映像を「MOVIE」にて公開中です！ 8月31日までの限定公開となります！ こちらからご覧ください♪
https://ishiharakaori-fc.com/news/?id=35,2021/08/14,会報1号／皆さまからのおたよりを大募集☆,※募集は終了いたしました。たくさんのご投稿ありがとうございます※ 会報1号の発行にあたり、ファンクラブ会員の皆さんから下記のテーマで投稿を募集します！ 皆さんの投稿が会報誌に掲載されるかも？！ 投稿をお待ちしております♪ ≪テーマ≫ ・CARRY MEETING - MAKE SMILE - 感想 ・8月14日 SUMMER EVENT「Smile Go Happy」感想 ・8月27日 Animelo Summer Live 2021 -COLORS- 感想 ≪締切≫ 8月29日（日）23:59まで ≪詳細≫ https://ishiharakaori-fc.com/enq/sdxSu/ ☆郵送を希望の方は下記宛先までお送りください 〒106-8487 東京都港区六本木1-5-17 泉ガーデンANNEX 石原夏織 オフィシャルファンクラブ『hand in hand』係 宛
https://ishiharakaori-fc.com/news/?id=36,2021/08/14,「Smile Go Happy」終演後コメント を更新しました☆,「Smile Go Happy」終演後の夏織ちゃんからコメントが到着♪ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=37,2021/08/17,夏はまだまだ続きます！,スタッフブログを更新しました！ SUMMER EVENTの次はアニサマです♪ リハーサルスタジオの夏織ちゃんからとある画像が送られてきて…？！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=38,2021/08/17,SUMMER EVENT 「Smile Go Happy」,ブログを更新しました！ 夏織ちゃんがSUMMER EVENT「Smile Go Happy」の感想を綴ってくれました！ こちら からご覧ください！
https://ishiharakaori-fc.com/news/?id=40,2021/08/27,フレーム Vol.7 更新☆,フレーム Vol.7 を更新しました☆ SUMMER EVENT「Smile Go Happy」より、さわやかな白い衣装のフレームを更新しました！ こちらからご確認ください！
https://ishiharakaori-fc.com/news/?id=41,2021/09/01,SUMMER EVENT 「Smile Go Happy」夜の部ライブ映像の一部を大公開！,8月14日に開催された石原夏織 SUMMER EVENT「Smile Go Happy」より、 ライブ全景映像を4週連続で公開します♪ ≪公開スケジュール≫ vol.1『半透明の世界で』 9月1日（水）12:00～9月7日（火）23:59 vol.2『キミに空とクローバー』 9月8日（水）12:00～9月14日（火）23:59 vol.3『Diorama-Drama』 9月15日（水）12:00～9月21日（火）23:59 vol.4『Against.』 9月22日（水）12:00～9月28日（火）23:59 こちら からご確認ください♪
https://ishiharakaori-fc.com/news/?id=45,2021/09/10,【重要】会報1号に関するご案内,石原夏織 オフィシャルファンクラブ「hand in hand」会員の皆さまにお知らせです。 現在、会報1号を絶賛制作中です。 会報誌を確実に皆さまのお手元に届けるために、必ず下記をご一読いただきますようお願いいたします。 ◆発送日 2021年9月27日（月）より順次発送を予定しております。 ◆発送対象 ・「hand in hand」有効会員の方 ・2021年9月30日（月）までに会員登録・入金完了までお手続きをお済ませいただいた方 ◆発送先住所確認のお願い 会報誌の発送に伴い、お引越しをされた方、お引越し予定の方は、期間内に必ず住所変更のお手続きをお願いいたします。 ＜確認期間＞ 2021年9月12日（日）23:59まで ＜確認・変更方法＞ ログイン後、MYPAGE内 会員情報にてご確認・変更ください ※確認期間内に住所変更がされていなかった場合・住所不明による未着や紛失等があった場合、再送のご対応はできかねます。あらかじめご了承ください。 ◆未着問合せ期間のご案内 時間がたってもお手元に会報誌が届かない場合は、以下の期間中に「お問い合わせ」よりご連絡ください。 ＜未着問い合わせ期間＞ 10月11日（月）〜10月20日（水）まで ※【クロネコDM便】での発送となり、ポスト投函でのお届けとなります。 ※上記期間以外のお問い合わせにつきましては、ご対応いたしかねますのでご注意ださい。 ※再送対応にお時間をいただいてしまう可能性がございます。予めご了承ください。
https://ishiharakaori-fc.com/news/?id=46,2021/09/13,「Starcast」で活躍した…？ を更新☆,スタッフブログを更新しました！ 7thシングル「Starcast」ジャケット撮影の裏側の裏側をチラ見せしちゃいます！ こちら からご覧ください♪
https://ishiharakaori-fc.com/news/?id=50,2021/10/03,早くも最終チェック中✨ を更新☆,スタッフブログを更新しました！ 「Starcast」の制作も順調に進行中です！ こちら からご覧ください♪
https://ishiharakaori-fc.com/news/?id=51,2021/10/21,聴いて・見ていただけましたか…？ を更新☆,スタッフブログを更新しました！ こちら からご覧ください♪
https://ishiharakaori-fc.com/news/?id=53,2021/11/02,Starcast先行配信♡ を更新☆,7thシングル『Starcast』より表題曲「Starcast」の先行配信がはじまりました！ 夏織ちゃんが楽曲への思いを綴ってくれました♪ ぜひ こちら からチェックしてくださいね！
https://ishiharakaori-fc.com/news/?id=56,2021/11/24,石原夏織 LIVE 2022「Starcast」ファンクラブ先行受付について,"石原夏織 LIVE 2022「Starcast」開催決定！ ■石原夏織 LIVE 2022「Starcast」 概要 ☆東京公演 「Starcast」-Vega- 【日程】 2022年3月12日（土） 【会場】TACHIKAWA STAGE GARDEN（立川ステージガーデン）（東京都立川市緑町3-3 N1） 【チケット】 全席指定 7,500円（税込） 【開場 / 開演】 [DAY]開場13:00/開演：14:00 [NIGHT]開場17:00/開演：18:00 ☆神奈川公演 「Starcast」-Altair- 【日程】 2022年3月27日（日） 【会場】神奈川県民ホール 大ホール（神奈川県横浜市中区山下町３−１） 【チケット】 全席指定 7,500円（税込） 【開場 / 開演】 [DAY]開場14:00/開演：15:00 [NIGHT]開場17:45/開演：18:45 ■参加方法 ☆ファンクラブ会員で優先販売申込券をお持ちの方 2021年11月24日発売 石原夏織7thシングル『Starcast』（PCCG.02068/PCCG.02069）初回製造分に、チケット優先販売申込券が封入されます。 申込券記載の注意事項等をご確認・ご了承の上、記載のシリアルナンバーを使い、受付期間内に専用の受付URLにてお申込みください。 申込受付期間2021年11月24日(水) ～ 2021年12月7日(火) 23:59 抽選結果発表2021年12月10日(金) 19:00以降 支払手続期間2021年12月10日(金) 19:00 ～ 2021年12月13日(月)23:59 ☆ファンクラブ会員（優先販売申込券をお持ちでない方） 申込受付期間2021年12月10日(金)～2022年1月5日(水)23:59 抽選結果発表2022年1月8日(土)19:00以降 支払手続期間2022年1月8日(土)19:00～2022年1月11日(火)23:59 ※ファンクラブに新規ご入会予定の方へ※ コンビニ決済を利用される場合、入金完了から実際にログインできるようになるまで、最大60分程度お時間をいただく可能性がございます。 ■申込は こちら から ＊現段階では実施の方向で準備を行っておりますが、新型コロナウイルス感染症の状況を注視しながら対応を進めて参ります。今後の状況によっては、延期または中止、イベント内容の変更をさせていただく可能性がございます。最新情報は、HP及びSNS等で発表させていただきます。"
https://ishiharakaori-fc.com/news/?id=61,2021/12/01,「Starcast」ジャケット撮影の裏側 その２！ を更新☆,ジャケット撮影の裏側を大公開♪ こちら から！
https://ishiharakaori-fc.com/news/?id=62,2021/12/10,【重要】会報2号に関するご案内,"石原夏織 オフィシャルファンクラブ「hand in hand」会員の皆さまにお知らせです。 現在、会報2号を絶賛制作中です。 会報誌を確実に皆さまのお手元に届けるために、必ず下記をご一読いただきますようお願いいたします。 ◆発送日 2022年1月下旬より順次発送を予定しております。 ◆発送対象 ・「hand in hand」有効会員の方 ・2021年1月31日（月）までに会員登録・入金完了までお手続きをお済ませいただいた方 ◆おたより募集のご案内 会報2号の発行にあたり、ファンクラブ会員の皆さんから投稿を募集いたします。 ＜テーマ＞ ・7thシングル「Starcast」感想 ・7thシングルc/w「わざと触れた。」感想 ＜投稿可能なもの＞ ・文字（500文字以内） ・写真（5MB/jpg,gif,png） ・イラスト（5MB/jpg,gif,png） ＜締切＞ 12月13日（月）23:59まで アンケートは こちら ◆発送先住所確認のお願い 会報誌の発送に伴い、お引越しをされた方、お引越し予定の方は、期間内に必ず住所変更のお手続きをお願いいたします。 ＜確認期間＞ 2022年1月16日（日）23:59まで ＜確認・変更方法＞ ログイン後、MYPAGE内 会員情報にてご確認・変更ください ※確認期間内に住所変更がされていなかった場合・住所不明による未着や紛失等があった場合、再送のご対応はできかねます。あらかじめご了承ください。 ◆未着問合せ期間のご案内 時間がたってもお手元に会報誌が届かない場合は、以下の期間中に「お問い合わせ」よりご連絡ください。 ＜未着問い合わせ期間＞ 2022年2月7日（月）〜2月14日（月）まで ※【クロネコDM便】での発送となり、ポスト投函でのお届けとなります。 ※上記期間以外のお問い合わせにつきましては、ご対応いたしかねますのでご注意ださい。 ※再送対応にお時間をいただいてしまう可能性がございます。予めご了承ください。"
https://ishiharakaori-fc.com/news/?id=63,2022/01/01,新コンテンツ『おみくじ』が登場！,「hand in hand」に、新コンテンツ「おみくじ」が登場！ 1日1回、あなたの運勢を夏織ちゃんが占ってくれますよ♪ ファンクラブページ内TOPに「おみくじ」のアイコンがあるので 毎日ログインしてみては？！ ログインはこちら
https://ishiharakaori-fc.com/news/?id=64,2021/12/24,「hand in hand」生配信アーカイブ動画 を更新☆,12月23日の生配信はお楽しみいただけましたか？ 現在アーカイブ映像を「MOVIE」にて公開中です！ 2022年1月3日までの限定公開となります！ こちら からご覧ください♪
https://ishiharakaori-fc.com/news/?id=65,2022/01/01,HAPPY NEW YEAR 2022！ を更新しました☆,あけましておめでとうございます！！ 夏織ちゃんからメッセージが届きました♪ こちら からご確認いただけます！
https://ishiharakaori-fc.com/news/?id=66,2022/01/30,ライブビジュアル公開しました‼️そして…📻👀 を更新！,スタッフブログを更新しました♪ オフショットもぜひチェックしてくださいね！ ブログは こちら ​​​​​​
https://ishiharakaori-fc.com/news/?id=67,2022/01/31,New Single「Cherish」リリース決定✨ を更新！,スタッフブログを更新しました♪ オフショットもぜひチェックしてくださいね！ ブログは こちら ​​​​​​
https://ishiharakaori-fc.com/news/?id=68,2022/03/03,LIVE「Starcast」グッズ解禁‼️ を更新☆,スタッフブログを更新しました♪ こちら からご確認ください！
https://ishiharakaori-fc.com/news/?id=69,2022/02/28,もうちょっとだけ…！ を更新☆,スタッフブログを更新しました♪ こちら からご確認ください！
https://ishiharakaori-fc.com/news/?id=70,2022/02/18,会報2号撮りおろしロケ スペシャルムービー を更新☆,MOVIEを更新しました！ ぜひ チェック してください！
https://ishiharakaori-fc.com/news/?id=71,2022/03/04,ライブ近づいてきました！！ を更新☆,ライブ近づいてきました！！ を更新☆ LIVE 2022「Starcast」開幕まであと少し…！ 夏織ちゃんからブログが届きました♪ グッズ情報と合わせて、ぜひチェックしてくださいね！ こちら からご覧いただけます☆
https://ishiharakaori-fc.com/news/?id=72,2022/03/08,※3/25追記※石原夏織 LIVE 2022「Starcast」ファンクラブ入会キャンペーンを開催！,※3月27日（日）Altair公演の入会受付時間を更新しました！ いつも石原夏織を応援いただきありがとうございます！ LIVE 2022「Starcast」公演会場にて、石原夏織 オフィシャルファンクラブ「hand in hand」の新規入会キャンペーンを行います♪ 会場でご入会いただいた方には、その場で ＜会報2号＞ をプレゼント✨ ぜひファンクラブカウンターにお立ち寄りください！ ＝＝＝＝＝＝＝ 入会受付時間 ＝＝＝＝＝＝＝ 10:30～15:00 昼の部終演後～18:45 夜の部終演後～列が途切れるまで ※会場入会特典は数量限定・無くなり次第終了となります。 ※会員証は後日配送いたします。 ※公演の詳細は こちら から！ ＝＝＝＝＝＝＝ 「hand in hand」会報2号 ＝＝＝＝＝＝＝ フルカラー／全16ページ 横浜中華街での撮りおろしカットを多数掲載！ 皆様のご入会お待ちしております♪
https://ishiharakaori-fc.com/news/?id=73,2022/03/12,フレーム Vol.8 ＆ Vol.9 更新☆,フレームを更新しました！ ぜひチェックしてくださいね！
https://ishiharakaori-fc.com/news/?id=74,2022/03/12,LIVE 2022「Starcast」 -Vega- 終演後コメント,MOVIEを更新しました！ ぜひ チェック してください！
https://ishiharakaori-fc.com/news/?id=75,2022/03/27,「hand in hand」初のファンクラブイベント開催決定！,"6月19日（日）に 石原夏織 初のファンクラブイベントを開催することが決定いたしました！ 本日 3月27日よりチケット申込みがスタート！ ファンクラブページ 【TICKET】 からお申込みいただけます☆ 夏織ちゃん念願のファンクラブイベント、みんなで一緒に楽しい時間を過ごしましょう♪ ●公演日時 2022年6月19日（日） ＜昼の部＞14：00 開場／15：00 開演／16：30 終演予定 ＜夜の部＞17：30 開場／18：30 開演／20：00 終演予定 ※開場・開演時間は変更となる場合がございます ●会場 埼玉県・三郷市文化会館 ●出演 石原夏織 井尻晏菜（MC） ●チケット料金 6,050円（税込） ※お一人様 各公演1枚まで ※お申込みは、お一人様1回まで（例：昼の部、夜の部の最大合計2枚をご応募いただけます。） ※全席指定 ※未就学児童入場不可／譲渡・転売不可 ※別途チケット配送料が発生いたします ●チケットスケジュール 申込受付期間／2022/03/27(日) ～ 2022/05/10(火) 23:59まで 抽選結果発表／2022/05/13(金) 19:00以降 支払手続期間／2022/05/13(金) 19:00 ～ 2022/05/16(月) 23:59まで 支払方法：クレジットカード・コンビニ決済 発券方法：配送（佐川急便：送料 税込550円） ●イベント参加方法 （1）チケット申込受付期間～公演当日までの間、ファンクラブ会員資格が必要となります。会員期限にご注意ください。 ★ファンクラブにご入会されていない方へ チケット申込受付期間内に、ファンクラブへの入会手続き（会員登録・入金完了まで）をいただきますとチケットのお申込みが可能です！ 新規ご入会はこちら ※入金確認が取れず仮登録状態の場合、チケット申込対象外となります ※チケットのお申込みには一定の手続きが必要となりますので、入会手続き（会員登録・入金完了まで）は時間に余裕をもってお手続きください （2）ご当選された方は公演当日、ご本人様を確認できる下記3点をご提示いただきます。 公演当日、下記をお持ちでない方やご本人様確認ができない方、入場をお断りいたしますので十分にご注意ください。 ●チケット ●会員証 または デジタル会員証 ●写真付きの身分証明書 ※下記参照 （パスポート／運転免許証／顔写真付き住民基本台帳カード／特別永住者証明書または在留カード／障害者手帳／顔写真入クレジットカード／顔写真付きマイナンバーカード／顔写真付き学生証） ※全てコピー及び期限切れは不可となります ※「マイナンバーカード通知カード」は身分証証明書とは認められません ※「マイナンバーカード」はどなたでも無料で取得していただけます ■マイナンバーカード総合サイト https://www.kojinbango-card.go.jp/kofushinse/"
https://ishiharakaori-fc.com/news/?id=76,2022/04/01,会報3号／皆さまからのおたよりを大募集！,"会報3号の発行にあたり、ファンクラブ会員の皆さんから下記のテーマで投稿を募集します！ 皆さんの投稿が会報誌に掲載されるかも？！ 投稿をお待ちしております♪ ●テーマ／締切 ・石原夏織 LIVE 2022「Starcast」感想／4月10日(日)23:59まで ・8thシングル「Cherish」感想／4月27日(水)23:59まで ●投稿可能なもの ・文字（500文字以内） ・写真（5MB/jpg,gif,png） ・イラスト（5MB/jpg,gif,png） ＞LIVE 2022 「Starcast」の感想は こちら ＞8thシングル「Cherish」の感想は こちら 締切がそれぞれ異なりますので、ご投稿いただく際はご注意ください。"
https://ishiharakaori-fc.com/news/?id=77,2022/03/27,フレーム Vol.10 更新☆,フレームを更新しました！ ぜひチェックしてくださいね！
https://ishiharakaori-fc.com/news/?id=78,2022/03/27,LIVE 2022「Starcast」 -Altair- 終演後コメント,MOVIEを更新しました♪ LIVE 2022「Starcast」-Altair-公演終演後ホヤホヤのコメントです☆彡 こちら からご覧いただけます！
https://ishiharakaori-fc.com/news/?id=79,2022/04/01,会報3号、発行決定！,"会報3号の発行が決定しました♪ 会報誌を確実に皆さまのお手元に届けるために、必ず下記をご一読いただきますようお願いいたします。 ◆発送日 2022年5月23日（月）より順次発送を予定しております。 ◆発送対象 ・「hand in hand」有効会員の方 ・2022年5月31日（火）までに会員登録・入金完了までお手続きをお済ませいただいた方 ◆おたより募集のご案内 会報3号の発行にあたり、ファンクラブ会員の皆さんから投稿を募集いたします。 ●テーマ／締切 ・石原夏織 LIVE 2022「Starcast」感想／4月10日(日)23:59まで ・8thシングル「Cherish」感想／4月27日(水)23:59まで ●投稿可能なもの ・文字（500文字以内） ・写真（5MB/jpg,gif,png） ・イラスト（5MB/jpg,gif,png） 投稿はこちら ◆発送先住所確認のお願い 会報誌の発送に伴い、お引越しをされた方、お引越し予定の方は、期間内に必ず住所変更のお手続きをお願いいたします。 ＜確認期間＞ 2022年5月9日（月）23:59まで ＜確認・変更方法＞ ログイン後、MYPAGE内 会員情報にてご確認・変更ください ※確認期間内に住所変更がされていなかった場合・住所不明による未着や紛失等があった場合、再送のご対応はできかねます。あらかじめご了承ください。 ◆未着問合せ期間のご案内 時間がたってもお手元に会報誌が届かない場合は、以下の期間中に「お問い合わせ」よりご連絡ください。 ＜未着問い合わせ期間＞ 2022年6月13日（月）〜6月19日（日）まで ※【クロネコDM便】での発送となり、ポスト投函でのお届けとなります。 ※上記期間以外のお問い合わせにつきましては、ご対応いたしかねますのでご注意ださい。 ※再送対応にお時間をいただいてしまう可能性がございます。予めご了承ください。"
