URL,更新日,タイトル,本文
https://www.inorimachi.com/fc_news/2018/0614140000.html,2018.06.14,【千葉公演】「Inori Minase LIVE TOUR 2018 BLUE COMPASS」チケット発送完了のお知らせ,"「Inori Minase LIVE TOUR 2018 BLUE COMPASS」
千葉公演
のチケットを6月14日(木)に簡易書留にて発送いたしました。
ご不在がちな方は、ポストの不在票にご注意ください。
簡易書留のお問い合わせ番号は、ファンクラブページ内「チケット」
並びに「チケット　発送完了のお知らせ」メールにてご確認いただけます。
6月22日(金)になりましてもお手元に届かない場合は、
下記「未着問い合わせ期間」内にファンクラブまでお問い合わせください。
《未着問い合わせ期間》
6月22日(金)～6月28日(木)
配達状況は、下記よりご確認いただけます。
お問い合わせの際は、必ず事前にご確認の上ご連絡くださいますようお願いいたします。
【郵便追跡サービス】
https://trackings.post.japanpost.jp/services/srv/search/input
※1次・2次受付合わせて発送が完了しております。"
https://www.inorimachi.com/fc_news/2018/0713150000.html,2018.07.13,まちの新聞「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』グッズ撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』グッズ撮影編」
の掲載を開始しました！
グッズ撮影時のエピソードとオフショットを合わせてお届けします♪
----------
※7月13日 その5＆6 更新しました！
----------
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/0718170000.html,2018.07.18,まちの新聞「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』スタジオリハーサル編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』スタジオリハーサル編」
を掲載しました！
ライブ直前の町長をレポート♪
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/0727150000.html,2018.07.27,まちの新聞「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』映像撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』映像撮影編」
の掲載を開始しました！
コンパス片手に旅する町長♪
----------
※7月27日 その5＆6 更新しました！
----------
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/0803150000.html,2018.08.03,TOPページ更新！,"「いのりまち」ファンクラブページを更新いたしました！
町民さんだけが見られるスペシャルな町長が、TOPページにてみなさんをお出迎え♪
ぜひログインしてみてくださいね！
ファンクラブページ：
https://www.inorimachi.com/
※画像の無断転載、複製、加工、または再配布する行為はご遠慮ください(ウェブサイト・SNSを含む)。"
https://www.inorimachi.com/fc_news/2018/0806150000.html,2018.08.06,まちの新聞「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』兵庫公演レポート」更新！,"ファンクラブページ内
「まちの新聞」
で
「『Inori Minase LIVE TOUR 2018 BLUE COMPASS』兵庫公演レポート」
を掲載しました！
ツアー3公演目兵庫公演の様子をライブ写真と共にお届けします♪
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/0820150000.html,2018.08.20,ファンクラブ会報「いのりまちだより」3号発行決定！,"ファンクラブ会報
「いのりまちだより」3号
の発行が決定しました！
3号の発送は9月末を予定しております。
住所変更を希望される方は
【9月14日(金)15:00まで】
に「まち役場」よりお手続きください。
※会報3号は、9月30日(日)までにご入会(入金完了まで)くださった方にお送りします。
※変更手続きがなく発送物未着のお問い合わせをいただいたいた場合、対応をいたしかねます。
※発送完了後は、まちの回覧板にてお知らせします。"
https://www.inorimachi.com/fc_news/2018/0821150000.html,2018.08.21,「まちうけ」開設！,"ファンクラブページに新コンテンツ
「まちうけ」
がオープンしました！
町民のみなさんだけがダウンロードできる、町長のスペシャルな待受画像を配布♪
それぞれの画像は期間限定で配布いたします。
ダウンロードをお忘れなく！
※画像の無断転載、複製、加工、または再配布する行為はご遠慮ください(ウェブサイト・SNSを含む)。"
https://www.inorimachi.com/fc_news/2018/0913180000.html,2018.09.13,ファンクラブイベント開催決定！,"「いのりまち」ファンクラブイベントの開催が決定しました！
町長と一緒に楽しい時間を過ごしましょう♪
『いのりまち町民集会2018』
【日時】
2018年12月9日(日)
①13:30開場／14:30開演
②17:30開場／18:30開演
【会場】
東京国際フォーラム ホールA
【チケット代金】
￥5,400(税込)
【制限枚数】
1公演につき1枚限り。
※両公演をお申し込みいただきました場合、2公演当選する可能性がございます。
その際、当選された全てのチケットをご購入いただきます。
----------------------------
※※重要※※
イベントへの入場には、
【会員証・有効な顔写真付き身分証明書(※下記参照)・チケット】
が必要です。
いずれかをお持ちでない場合、ご参加いただけませんのでご注意ください。
★本イベントにおける有効な顔写真付き身分証明書
○運転免許証(各都道府県公安委員会が発行するもの)
○パスポート
○顔写真付きマイナンバーカード(通知カードは認められません)
○在留カードまたは特別永住者証明書
○顔写真付き障害者手帳
○顔写真付き学生証
○顔写真付き住民基本台帳カード
※すべてにおいて、コピー・期限切れ・顔写真無しのものは無効。
※チケット印字氏名と一致するものに限ります。
※外国籍の方は【パスポート・在留カード・特別永住者証明書】のいずれかをお持ちください。
※顔写真付きマイナンバーカードは、年令問わず無料で取得することができます。
>> マイナンバーカード総合サイト
----------------------------
●申し込み方法
ファンクラブページ「チケット」より、『申込受付期間』内に画面の案内に従ってお手続きください。
《申込受付期間》
9月27日(木)15:00～10月11日(木)18:00
《当落発表》
10月19日(金)15:00予定
《決済方法選択期間》
10月19日(金)15:00～10月29日(月)23:59
《チケット発送》
11月下旬予定
【ご注意】
※「チケット」ページ記載の注意事項を必ずご確認ください。ご了承いただきました上でのお手続きとなります。
※複数公演当選された場合、当選されたすべてのチケットをご購入いただきます。
※受付は先着順ではございません。申し込み者多数の場合、抽選にて当落を決定いたします。
※いかなる理由におきましても、申込受付期間終了後の申込み・キャンセル・変更はできません。
ご不明な点のある方は、必ず申込受付期間内にファンクラブまでお問い合わせください。
----------------------------
♪入会をご検討の方へ
チケットの申込受付期間終了までに、ファンクラブページより【クレジットカード決済・コンビニ／ペイジー支払】にてご入会(入金完了まで)いただきますとチケットのお申し込みが可能です！
>> ご入会はこちらから！
【ご注意】
※Loppi／ローソンチケット、郵便振込からのお手続きは期日が異なります。
下記期日を過ぎた場合、チケットはお申し込みいただけません。ご注意ください。
・Loppi／ローソンチケット：10月7日(日)
・郵便振込：10月5日(金)
※チケットの申込受付は
10月11日(木)18:00
に終了しますので、時間に余裕を持ってお手続きください。"
https://www.inorimachi.com/fc_news/2018/0925150000.html,2018.09.25,まちの新聞「LIVE Blu-ray『Inori Minase LIVE TOUR BLUE COMPASS』ジャケット撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「LIVE Blu-ray『Inori Minase LIVE TOUR BLUE COMPASS』ジャケット撮影編」
の掲載を開始しました！
発売日前にジャケット撮影の様子を町民のみなさんへお届けします♪
----------
※9月25日 その3＆4 更新しました！
----------
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/0925150001.html,2018.09.25,「まちうけ」画像更新！,"ファンクラブページ
「まちうけ」
の画像を更新しました♪
期間限定での配信です！
町民のみなさんはダウンロードをお忘れなく！
※画像の無断転載、複製、加工、または再配布する行為はご遠慮ください(ウェブサイト・SNSを含む)。"
https://www.inorimachi.com/fc_news/2018/0927150000.html,2018.09.27,「いのりまち町民集会2018」チケット申し込み受付開始のご案内,"「いのりまち町民集会2018」のチケット申し込み受付を開始いたしました！
●公演詳細
【日時】
2018年12月9日(日)
①13:30開場／14:30開演
②17:30開場／18:30開演
【会場】
東京国際フォーラム ホールA
【チケット代金】
￥5,400(税込)
●申し込み方法
ファンクラブページ「チケット」より、『申込受付期間』内に画面の案内に従ってお手続きください。
《申込受付期間》
9月27日(木)15:00～10月11日(木)18:00
《当落発表》
10月19日(金)15:00予定
《決済方法選択期間》
10月19日(金)15:00～10月29日(月)23:59
《チケット発送》
11月下旬予定
【ご注意】
※「チケット」ページ記載の注意事項を必ずご確認ください。ご了承いただきました上でのお手続きとなります。
※複数公演当選された場合、当選されたすべてのチケットをご購入いただきます。
※受付は先着順ではございません。申し込み者多数の場合、抽選にて当落を決定いたします。
※いかなる理由におきましても、申込受付期間終了後の申込み・キャンセル・変更はできません。
ご不明な点のある方は、必ず申込受付期間内にファンクラブまでお問い合わせください。
----------------------------
※※重要※※
イベントへの入場には、
【会員証・有効な顔写真付き身分証明書(※下記参照)・チケット】
が必要です。
いずれかをお持ちでない場合、ご参加いただけませんのでご注意ください。
★本イベントにおける有効な顔写真付き身分証明書
○運転免許証(各都道府県公安委員会が発行するもの)
○パスポート
○顔写真付きマイナンバーカード(通知カードは認められません)
○在留カードまたは特別永住者証明書
○顔写真付き障害者手帳
○顔写真付き学生証
○顔写真付き住民基本台帳カード
※すべてにおいて、コピー・期限切れ・顔写真無しのものは無効。
※チケット印字氏名と一致するものに限ります。
※外国籍の方は【パスポート・在留カード・特別永住者証明書】のいずれかをお持ちください。
※顔写真付きマイナンバーカードは、年令問わず無料で取得することができます。
>> マイナンバーカード総合サイト
♪入会をご検討の方へ
チケットの申込受付期間終了までに、ファンクラブページより【クレジットカード決済・コンビニ／ペイジー支払】にてご入会(入金完了まで)いただきますとチケットのお申し込みが可能です！
>> ご入会はこちらから！
【ご注意】
※Loppi／ローソンチケット、郵便振込からのお手続きは期日が異なります。
下記期日を過ぎた場合、チケットはお申し込みいただけません。ご注意ください。
・Loppi／ローソンチケット：10月7日(日)
・郵便振込：10月5日(金)取扱日有効
※チケットの申込受付は
10月11日(木)18:00
に終了しますので、時間に余裕を持ってお手続きください。"
https://www.inorimachi.com/fc_news/2018/0928160000.html,2018.09.28,ファンクラブ会報「いのりまちだより」3号発送開始のお知らせ,"ファンクラブ会報「いのりまちだより」3号の発送を、9月28日(金)に開始いたしました！
10月12日(金)
になりましてもお手元に届かない場合は、
下記期間内にファンクラブまでお問い合わせください。
■未着問い合わせ期間
2018年10月12日(金)～10月26日(金)
■お問い合わせ先
TEL：03-6273-2233（平日12時～18時）
MAIL：contact@inorimachi.com
件名：会報3号未着
本文：会員番号・氏名・住所・お問い合わせの詳細
※未着問い合わせ期間以降にご連絡をいただきましても対応いたしかねますのでご注意ください。
※9月末までにご入会いただいた方を対象に発送いたします。
※初回発送は、9月9日(日)までにご入会手続きを完了された方が対象です。
※9月10日(月)以降にご入会いただいた方へは、10月上旬より順次発送いたします。
※会報投稿は【10月5日(金)】より受付を開始いたします。"
https://www.inorimachi.com/fc_news/2018/1001150000.html,2018.10.01,まちの新聞「6th SINGLE『TRUST IN ETERNITY』ジャケット撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「6th SINGLE『TRUST IN ETERNITY』ジャケット撮影編」
の掲載を開始しました！
幻想的なジャケットの撮影風景を大公開！
----------
※10月1日 その3＆4 更新しました！
----------
ぜひチェックしてみてください！"
https://www.inorimachi.com/fc_news/2018/1001150001.html,2018.10.01,会員継続手続き受付開始のご案内,"ファンクラブ会員継続手続きの受付を開始いたしました！
継続手続きは、会員期限の3ヶ月前よりお申し込みいただけます。
●お手続き方法
ファンクラブページ「まち役場」⇒「継続手続き」より、画面の案内に従ってお手続きください。
《お支払い金額》
継続年会費4,000円＋申し込み手数料216円
《決済方法》
クレジットカード／コンビニ／ペイジー／郵便振込
●継続特典について
1年ごとにデザインの異なるアイテムのお届けを予定しております♪
継続のお手続きをいただいた方には、11月中旬より順次発送いたします！
【ご不明な点のある方へ】
ファンクラブページ
「FAQ」
に『会員期限・更新手続き』に関するご案内がございます。
その他ご質問がある方は、ファンクラブまでお問い合わせください。"
https://www.inorimachi.com/fc_news/2018/1005120000.html,2018.10.05,ファンクラブ会報「いのりまちだより」投稿受付開始！,"ファンクラブ会報「いのりまちだより」4号の投稿受付を開始いたしました！
町長へのメッセージやアニメ・ライブ・会報の感想、イラストやコーナーへの投稿などなど、みなさんのおたよりをお送りください♪
【ファンクラブページからの投稿】
ファンクラブページログイン後、「ポスト」からご投稿ください。
投稿締切：10月31日(水)18:00
【郵便での投稿】
〒160-0004
東京都新宿区四谷4-6-10ビクトリアセンター8F
水瀬いのりオフィシャルファンクラブ「いのりまち」○○○(各コーナー名)係
投稿締切：10月31日(水)必着
たくさんの投稿、お待ちしております♪"
https://www.inorimachi.com/fc_news/2018/1017150000.html,2018.10.17,まちの新聞「6th SINGLE『TRUST IN ETERNITY』MUSIC VIDEO撮影編」更新！,"ファンクラブページ内
「まちの新聞」
で
「6th SINGLE『TRUST IN ETERNITY』MUSIC VIDEO撮影編」
を更新しました！
先日公開されたMUSIC VIDEOの撮影風景をお届けします♪
----------
※10月15日 その3＆4 更新しました！
※10月17日 その5＆6 更新しました！
----------
ぜひチェックしてみてくださいね！"
https://www.inorimachi.com/fc_news/2018/1019150000.html,2018.10.19,「いのりまち町民集会2018」チケット当落結果のご案内,"「いのりまち町民集会2018」のチケットをお申し込みいただきました方へ、当落結果のご案内を開始いたしました。
●当落結果について
ファンクラブページ
「チケット」
よりご確認いただけます。
また、ファンクラブ登録のメールアドレス宛に『当落結果のお知らせ』メールをお送りしております。
●支払方法
当選された方は、ファンクラブページ「チケット」より『決済方法選択期間』内に決済方法を選択し、案内に従ってお手続きください。
《決済方法選択期間》
10月29日(月)23:59まで
《決済方法／支払期限》
クレジットカード：決済方法選択後、即時決済
コンビニ／ペイジー／郵便振込み：10月30日(火)取扱日有効
【ご注意】
・いかなる理由におきましても、当選されたチケットのキャンセル・変更はできません。
・複数公演当選された場合、当選されたすべてのチケットをご購入いただきます。
・一度選択された決済方法の変更はできません。
・入金に不備・不明な点がある場合、選択した決済方法以外での入金や支払期限後の入金はすべて手数料を差し引き返金いたします。
その際、当選は無効となりチケットのご用意はできかねます。
・当選確定後にチケット代金のご入金がない場合、次回以降の当落結果・座席の決定に影響が生じる可能性がございます。
ご不明な点のある方は、必ず申込受付期間内にファンクラブまでお問い合わせください。
----------------------------
※※重要※※
イベントへの入場には、
【会員証・有効な顔写真付き身分証明書(※下記参照)・チケット】
が必要です。
いずれかをお持ちでない場合、ご参加いただけませんのでご注意ください。
★本イベントにおける有効な顔写真付き身分証明書
○運転免許証(各都道府県公安委員会が発行するもの)
○パスポート
○顔写真付きマイナンバーカード(通知カードは認められません)
○在留カードまたは特別永住者証明書
○顔写真付き障害者手帳
○顔写真付き学生証
○顔写真付き住民基本台帳カード
※すべてにおいて、コピー・期限切れ・顔写真無しのものは無効。
※チケット印字氏名と一致するものに限ります。
※外国籍の方は【パスポート・在留カード・特別永住者証明書】のいずれかをお持ちください。
※顔写真付きマイナンバーカードは、年令問わず無料で取得することができます。
>> マイナンバーカード総合サイト
●会員証再発行について
会員証を紛失された方は
【11月9日(金)】まで
に再発行手続きを行ってください。
《手続き方法》
再発行には再発行料として1,000円がかかります。
郵便局備付の青い払込取扱票に必要事項をご記入の上、「通常払込み」にてお申し込みください。
○必要事項
口座番号：00190-8-324717
加入者名：いのりまち
入 金 額：1,000円
通 信 欄：「会員証再発行」の一文、会員番号
ご依頼人欄：郵便番号、住所、氏名、電話番号
※電信払込み、電信振替、現金書留など、通常払込み以外の入金方法では受付出来ません。
※再発行には、最大2ヶ月ほどお時間をいただきます。期間に余裕を持ってお申し込みください。
※ご入金の際の手数料は別途ご負担ください。"
https://www.inorimachi.com/fc_news/2018/1026120000.html,2018.10.26,「いのりまち」事務局移転のお知らせ,"この度、水瀬いのりオフィシャルファンクラブ「いのりまち」は、
2018年11月5日(月)より下記のとおり住所を変更することとなりました。
【新住所】
〒160-0023
東京都新宿区西新宿1-19-6　山手新宿ビル11F
水瀬いのりオフィシャルファンクラブ「いのりまち」
※電話番号・メールアドレスに変更はございません
移転に伴い、11月2日(金)の電話・メール対応、並びに宅配便の受け取りを休業させていただきます。
ご理解、ご協力の程、何卒よろしくお願い申し上げます。"
